"seed","nclass","BIC","AIC"
1,2,8041.72412898032,7942.71857836434
1,3,7683.7683650605,7532.65462990981
1,4,7567.46411670087,7364.24219701545
1,5,7530.76881501512,7275.43871079498
1,6,7561.34474509014,7253.90645633528
1,7,7629.20987965819,7269.66340636861
1,8,7700.63308322271,7288.97842539841
1,9,7771.65239484982,7307.88955249079
1,10,7843.63721126341,7327.76618436966
1,11,7915.74600346832,7347.76679203985
1,12,7987.85358032726,7367.76618436407
2,2,8041.72412898032,7942.71857836434
2,3,7683.76836523558,7532.65463008489
2,4,7567.46411670085,7364.24219701543
2,5,7530.76881501522,7275.43871079508
2,6,7561.34567981475,7253.90739105989
2,7,7629.30227711188,7269.75580382229
2,8,7700.42589255879,7288.77123473448
2,9,7773.12886656184,7309.36602420282
2,10,7843.74670082448,7327.87567393073
2,11,7915.7453958013,7347.76618437283
2,12,7987.85358032954,7367.76618436635
3,2,8041.72412898032,7942.71857836434
3,3,7683.76836510462,7532.65462995393
3,4,7567.46411670073,7364.24219701531
3,5,7530.76881501507,7275.43871079493
3,6,7561.71735255053,7254.27906379567
3,7,7628.71637145402,7269.16989816443
3,8,7699.57524752304,7287.92058969874
3,9,7771.71712925676,7307.95428689774
3,10,7843.63845290674,7327.76742601299
3,11,7915.7453970039,7347.76618557543
3,12,7987.85358035223,7367.76618438903
4,2,8041.72412898032,7942.71857836434
4,3,7683.76836510292,7532.65462995222
4,4,7567.46411670115,7364.24219701573
4,5,7530.7688150156,7275.43871079546
4,6,7561.34474200427,7253.90645324941
4,7,7629.19826152781,7269.65178823823
4,8,7700.65672308851,7289.00206526421
4,9,7771.83839828483,7308.0755559258
4,10,7843.64007686079,7327.76904996704
4,11,7915.75242238776,7347.77321095928
4,12,7987.85358032661,7367.76618436342
5,2,8041.72412898032,7942.71857836434
5,3,7683.7683651147,7532.654629964
5,4,7567.46411670129,7364.24219701587
5,5,7530.76881501559,7275.43871079545
5,6,7561.34473796515,7253.90644921028
5,7,7628.64528883286,7269.09881554328
5,8,7700.43427829099,7288.77962046669
5,9,7771.64176780515,7307.87892544613
5,10,7843.64792206007,7327.77689516632
5,11,7915.74539579593,7347.76618436746
5,12,7987.85358031957,7367.76618435637
6,2,8041.72412898032,7942.71857836434
6,3,7683.76836506124,7532.65462991054
